id;danceability;energy;song_key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;tempo;duration_ms;time_signature;featured;track;artists_cleaned;featured_artist_cleaned;duration_s;duration_m
7EkWXAI1wn8Ii883ecd9xr;0.3449999988079071;0.94099998474121094;9;-9.9180002212524414;True;4.6599999070167542E-2;3.8400001358240843E-5;0.63300001621246338;5.1100000739097595E-2;179.62600708007813;147062;4;0;freaks;surf curse;;147;2.45
7fBv7CLKzipRk6EC6TWHOB;0.58499997854232788;0.56400001049041748;0;-7.0630002021789551;False;5.1500000059604645E-2;6.7100003361701965E-2;0;0.13500000536441803;113.00299835205078;242253;4;0;the hills;the weeknd;;242;4.04
7FIWs0pqAYbP91WWM0vlTQ;0.80800002813339233;0.74500000476837158;10;-5.2600002288818359;False;0.34200000762939453;0.14499999582767487;0;0.29199999570846558;165.9949951171875;210800;4;1;godzilla;eminem;(feat. juice wrld);210;3.51
7fZBQnc0zXwVybgCIrQQil;0.84500002861022949;0.79699999094009399;1;-4.9840002059936523;True;0.13899999856948853;0.05820000171661377;5.5700002121739089E-6;0.16699999570846558;121.98500061035156;151475;4;1;belly dancer;imanbek;(feat. byor);151;2.52
7GARzfC1mwhDuk4t9WOACq;0.78299999237060547;0.72200000286102295;2;-4.8639998435974121;True;3.5700000822544098E-2;5.3699999116361141E-3;2.090000081807375E-3;0.10499999672174454;97.030998229980469;180022;4;0;more;j-hope;;180;3.00
7gVzhRCrLRUBEGdS7zNTp0;0.89399999380111694;0.85900002717971802;5;-2.9809999465942383;False;4.7100000083446503E-2;0.15899999439716339;1.5300000086426735E-4;7.5000002980232239E-2;134.94700622558594;145854;4;0;malvada;zé felipe;;145;2.43
7gwT3HGL84vF7bgtwL1N88;0.80900001525878906;0.64899998903274536;8;-4.4330000877380371;False;4.1600000113248825E-2;4.0699999779462814E-2;0;0.14499999582767487;120.01399993896484;198520;4;0;ojos marrones;lasso;;198;3.31
7H0ya83CMmgFcOhw0UB6ow;0.50800001621246338;0.79199999570846558;0;-7.310999870300293;False;2.9699999839067459E-2;0.22900000214576721;0.12399999797344208;0.14499999582767487;147.06700134277344;320467;4;0;space song;beach house;;320;5.34
7HCX1Ch3mklJyEdpwPZBFW;0.82400000095367432;0.66699999570846558;10;-6.6030001640319824;False;8.1399999558925629E-2;3.2099999953061342E-3;2.6499999421503162E-6;9.5600001513957977E-2;82.037002563476563;207933;4;1;for a nut;future;(feat. gunna & young thug);207;3.47
7hU3IHwjX150XLoTVmjD0q;0.83099997043609619;0.55400002002716064;1;-9.9980001449584961;False;0.21799999475479126;0.16099999845027924;6.120000034570694E-5;0.15199999511241913;140.0260009765625;168228;4;0;money;lisa;;168;2.80
7IaeavdRzXYQWfu2Wt5GlU;0.88300001621246338;0.28299999237060547;0;-12.652999877929688;True;0.11299999803304672;0.10400000214576721;1.6700000269338489E-3;9.3500003218650818E-2;122.01300048828125;157390;4;0;currents;drake;;157;2.62
7IBLt4Qarf4JDLxIQDv2O5;0.72699999809265137;0.61599999666213989;8;-8.4870004653930664;True;0.33799999952316284;0.54199999570846558;4.4700000216835178E-6;0.48199999332427979;140.01400756835938;291612;4;0;d.m.b.;a$ap rocky;;291;4.86
7iHHlCbsFou5DZSW5HCPfs;0.74699997901916504;0.81199997663497925;3;-4.2740001678466797;False;0.11100000143051147;0.34099999070167542;1.3099999341648072E-4;0.17399999499320984;180.06199645996094;330478;4;1;ella - remix;boza;(feat. lunay, lenny tavárez, juhn, beéle);330;5.51
7iL6o9tox1zgHpKUfh9vuC;0.89899998903274536;0.71299999952316284;6;-2.752000093460083;False;0.36599999666213989;0.25499999523162842;0;7.0799998939037323E-2;90.051002502441406;193467;4;0;in da club;50 cent;;193;3.22
7JIIY2oDPFkURYMCLJuzhe;0.39399999380111694;0.32699999213218689;4;-14.291000366210938;True;0.11400000005960464;0.84899997711181641;0;0.125;93.358001708984375;150320;4;1;elliot's song - from "euphoria" an hbo original series;dominic fike;(feat. zendaya);150;2.51
7JJmb5XwzOO8jgpou264Ml;0.86599999666213989;0.81300002336502075;11;-4.0630002021789551;False;5.5399999022483826E-2;0.37999999523162842;0;7.7899999916553497E-2;121.99800109863281;199440;4;0;there's nothing holdin' me back;shawn mendes;;199;3.32
7jtQIBanIiJOMS6RyCx6jZ;0.44200000166893005;0.53799998760223389;4;-8.5500001907348633;False;4.5099999755620956E-2;0.71700000762939453;2.9500000891857781E-5;9.0000003576278687E-2;122.75800323486328;244360;4;0;another love;tom odell;;244;4.07
7JyFwJC3uRpiNfq7oKafgn;0.30099999904632568;0.30300000309944153;4;-12.390000343322754;True;4.5800000429153442E-2;0.17700000107288361;3.0999999493360519E-2;0.09790000319480896;141.99699401855469;145796;4;0;euthanasia;post malone;;145;2.43
7KA4W4McWYRpgf0fWsJZWB;0.55800002813339233;0.55900001525878906;6;-9.2220001220703125;True;9.5899999141693115E-2;0.37099999189376831;7.4899999162880704E-6;0.10899999737739563;78.557998657226563;180387;4;1;see you again;tyler the creator;(feat. kali uchis);180;3.01
7KWKWJnbGJ3Soag6Oopion;0.70899999141693115;0.69599997997283936;8;-4.8369998931884766;False;0.27500000596046448;0.15999999642372131;0;0.24799999594688416;98.119003295898438;134937;4;0;cachorrinhas;luísa sonza;;134;2.25
7KXjTSCq5nL1LoYtL7XAwS;0.90799999237060547;0.62099999189376831;1;-6.6380000114440918;False;0.10199999809265137;2.8199999360367656E-4;5.3899999329587445E-5;9.5799997448921204E-2;150.01100158691406;177000;4;0;humble.;kendrick lamar;;177;2.95
7lcI4X8RZxK4zIknJcwpBq;0.89300000667572021;0.69900000095367432;11;-8.0590000152587891;True;0.05169999971985817;5.7599999010562897E-2;3.0199998946045525E-6;0.12800000607967377;139.97200012207031;136761;4;1;bussin;nicki minaj;(feat. lil baby);136;2.28
7lQ8MOhq6IN2w8EYcFNSUk;0.90799999237060547;0.66900002956390381;7;-2.8269999027252197;True;7.3799997568130493E-2;2.8599998913705349E-3;0;0.2370000034570694;112.23799896240234;290320;4;0;without me;eminem;;290;4.84
7lvDsmTRXFE3dK4OjvRiWB;0.71399998664855957;0.59600001573562622;11;-6.2059998512268066;False;4.3000001460313797E-2;6.5700002014636993E-2;0;0.0625;91.990997314453125;224147;4;1;pasoori;shae gill;(feat. ali sethi);224;3.74
